Test case #1
54
205766759 136610324
248348007 972473312
548184270 503900899
799018762 838781522
859417358 666511113
673295724 23569481
889056193 844203248
486580672 162799219
431161069 673629902
359048835 45437410
73655814 519656216
952448977 440763297
106370407 637823249
506880084 138184751
576201368 650201155
340456696 219285709
380246800 70103318
220679071 809484738
903627482 566459733
345405906 578248967
180792462 592572634
997249025 539599422
193156239 452805571
247931086 945805376
793046613 34464386
49056221 393426312
559255465 449987596
721465305 942050572
784344065 343025571
552660367 398315495
58606294 577438316
789891050 214139094
778864632 830894084
611239699 246370327
327082055 98529076
854996746 873048286
570775560 826827073
337996438 465230096
154965244 983108022
190856963 893050767
484836890 816871717
584292645 589103661
97223546 211053172
277108671 612824383
876379676 494025084
914298512 117260199
285930911 269425468
764098624 563097677
724669884 839705740
795073910 610032639
444087867 617437905
989866740 527722658
804604058 745717934
390840654 954535603


Answer:
11

Test case #2
147
561788300 287697699
502534716 561621846
489609334 330854661
48592271 968813548
587281670 698520114
158598110 526830127
405088832 988890924
248034434 959665027
52639252 343564226
464717723 506536295
280618037 655423474
688857887 154738918
960919526 933164519
644499461 389238776
348849818 594959018
618677374 41263150
443002262 14156928
783887211 508713812
272482949 975057171
935810299 549991221
686571362 75661670
651479206 561123406
564474798 755535369
499948133 142506976
410789667 247081267
530733699 297083105
588923210 588664008
159906229 303089570
661291097 526314968
157275980 810519754
708512426 166443180
52080488 302706532
585726502 337710127
485912294 932920013
461690603 44296712
330363923 645728549
700448803 324653321
537079787 571501694
838317038 362662997
374716207 964540949
138947378 366426443
497684238 165850157
42516278 33550111
37040717 376681054
100889797 26682798
254235778 431598569
678479599 191790849
704096130 917119606
561349598 432039473
40880641 837923115
327771019 141861182
800611725 753827217
596081059 440143386
706973221 135872961
351616542 233635380
367958109 39940115
348524504 65904982
35698512 867284788
68979274 625612225
97707197 297741332
780448905 432718413
969442005 929107153
627553813 458210026
335428630 302875491
603417332 9337713
87096285 864030836
388773158 216430080
139167599 402417491
581629841 976946054
993013467 640129352
479417114 954265790
537416813 824462475
967133399 123116859
323499327 515639948
603436334 286468353
154857414 748037678
272600506 974651241
509546391 341533132
574779873 422949099
459077076 324761474
154881963 856400334
728761152 245943958
852899715 942082237
667999574 436585955
427678717 179785757
858853965 25976593
135293923 325864694
634886367 935463432
782615781 952984383
166725911 199602230
475920706 210916992
609988017 445927671
195469182 503540051
718794245 570458887
702681487 884443190
199706044 557428570
412477802 173108792
403600006 888431301
221246036 805466674
914475722 856186741
746466369 730429305
896269256 924262322
589178244 583849159
330733320 514499980
552141880 989759387
188728398 59560743
487904805 857308301
972976127 671994875
222431786 941803418
189964834 651299179
835217994 844414963
529320366 116535411
286737323 892347224
581319857 665657960
430647750 664504017
783695414 951686669
442807717 8246154
23359641 380169759
717958238 938768885
718896632 540614228
483965848 670204350
484252553 200881704
550237110 496369363
512435526 509378552
609332009 89630857
133653226 912102766
155034972 418599988
795387896 189845301
200023000 829833172
329798900 697102620
671904932 85323642
271514422 730023637
939195704 602903868
451956555 749844068
545623942 560227
833047145 382240664
407994105 601823389
674139872 772730420
61708843 860938249
213995717 78935222
575670681 10110322
332979353 184454162
284037901 364020419
432368582 885652301
107123117 536883741
993686263 409542479
491007023 968995520


Answer:
20

Test case #3
749
386237664 662181179
252350647 125830996
915686522 344944976
907145912 578942625
799721170 930720145
426553688 486164702
340725433 804669900
187993567 330673978
906906320 5088242
123563680 412466247
400344048 349668861
765332162 227114561
500867542 829479422
369581918 132056746
380968224 548057226
382330840 242054094
67244067 41656723
261598916 181097876
172565544 336827225
188174073 465283165
990533093 716967240
606432222 125560443
265133537 839339593
309467731 688637341
876425192 268089374
780623780 148447799
108087606 551321826
658523823 852917118
40345552 834180662
868847619 913655794
133327322 962065504
645427438 337054564
536879552 329508734
639257880 655099698
848132039 636966754
734863283 969725676
423816598 78666571
748021236 580146740
43903549 770921758
963992414 208547218
485303264 652712544
609584934 968338086
683212564 129598149
728210501 459568986
332375789 418878560
786563685 624665935
583223450 784460485
11628309 506230268
189805650 809097409
233772064 525170721
116852912 32504685
292338109 868196262
377081771 253376353
874417523 406322762
362954175 386631285
810484607 443267693
827114646 405747805
249437656 814519704
399316112 906925091
676460424 551533534
1993683 669930480
583253217 709808062
565613525 584311080
252130845 39280255
752236174 840386106
517496153 282075675
428351799 517921173
606037415 260410010
353717943 861028065
181806565 496207607
427737071 863283710
973910648 873481901
381347564 254596979
637565179 928101948
706269547 760660098
518805372 155432071
